,VNINDEX,BVH,CSM,CTG,CII,DPM,FLC,EIB,DRC,FPT,HAG,HCM,GMD,HPG,IJC,HSG,MBB,MSN,ITA,OGC,KDC,PVD,PPC,PVT,VCB,SSI,STB,REE,VIC,VNM,NGANHANG,KHOANGSAN,NANGLUONG,VN30,UPCOM,CONGNGHE
2016-06-01,615.9499999999998,58.620000000000005,20.635,16.985,23.823333333333334,24.755,6.483333333333332,12.716666666666663,35.73499999999999,34.12499999999999,7.8500000000000005,30.03,27.600000000000005,19.083333333333332,6.616666666666667,19.59166666666667,14.205,43.836666666666666,4.483333333333332,2.9333333333333336,25.020000000000007,27.868333333333336,14.155000000000001,10.19,33.858333333333334,20.506666666666664,11.15,19.575,39.04,112.30166666666666,456.77833333333336,130.835,1030.5,617.2666666666668,56.21666666666667,585.8733333333333
2016-06-02,617.3249999999999,58.7625,20.79,17.00875,23.862499999999997,24.755,6.499999999999999,12.7,35.802499999999995,34.0875,7.875,30.04,27.725,19.195,6.6000000000000005,19.8625,14.205,43.85,4.487499999999999,2.925,25.083750000000002,28.106250000000003,14.12875,10.254999999999999,33.915,20.45625,11.15,19.54875,39.1175,112.235,457.4375,131.06875000000002,1031.2649999999999,618.075,56.4125,585.42625
2016-06-03,618.54,58.848,20.947,17.024,23.895999999999997,24.755,6.519999999999999,12.629999999999999,35.842,34.047,7.9,30.113,27.98,19.357,6.590000000000001,20.042,14.196000000000002,43.89,4.499999999999999,2.92,25.102000000000004,28.475,14.094999999999999,10.302,33.994,20.472,11.15,19.532999999999998,39.164,112.11600000000001,457.9440000000001,131.24,1031.865,618.63,56.69,584.983
2016-06-04,620.225,59.13125,21.15,17.08125,23.9225,24.71,6.524999999999999,12.662499999999998,36.131249999999994,33.99249999999999,7.887499999999999,30.18125,27.9875,19.4625,6.575000000000001,20.403750000000002,14.205000000000002,43.92999999999999,4.499999999999999,2.9125,25.155000000000005,28.87625,14.06125,10.407499999999999,34.125,20.5275,11.1375,19.515,39.21124999999999,112.03500000000001,459.30875000000003,131.23875,1032.30625,619.7375,56.875,584.63
2016-06-05,621.0333333333333,59.27333333333333,21.253333333333334,17.096666666666668,23.951666666666664,24.72333333333333,6.533333333333331,12.633333333333331,36.118333333333325,33.95833333333333,7.8999999999999995,30.278333333333332,28.166666666666668,19.593333333333334,6.566666666666667,20.646666666666672,14.205,43.94333333333333,4.499999999999999,2.9,25.211666666666673,29.198333333333334,14.034999999999998,10.476666666666667,34.11333333333334,20.508333333333333,11.133333333333333,19.501666666666665,39.22666666666666,111.77166666666669,459.49000000000007,131.4,1032.2566666666667,619.9833333333333,57.06666666666666,584.16
2016-06-06,621.8666666666666,59.27333333333333,21.373333333333335,17.01833333333333,24.026666666666667,24.755,6.583333333333332,12.35,35.828333333333326,33.83333333333333,8.0,30.073333333333334,28.58333333333334,19.923333333333332,6.646666666666667,20.573333333333334,14.145000000000001,43.88999999999999,4.516666666666666,2.9499999999999997,25.400000000000006,29.333333333333332,13.93,10.423333333333332,34.365,20.365,11.283333333333333,19.438333333333333,39.40833333333333,111.36999999999999,459.70166666666665,131.71333333333334,1033.5466666666666,620.1333333333333,57.449999999999996,582.0833333333334
2016-06-07,622.1666666666665,59.68666666666667,21.385,16.923333333333332,24.05666666666667,24.784999999999997,6.6166666666666645,12.1,35.711666666666666,33.70833333333332,8.0,29.95,28.666666666666668,20.138333333333332,6.886666666666667,20.48,14.096666666666666,43.78333333333333,4.516666666666666,3.0499999999999994,25.786666666666672,29.59,13.843333333333334,10.450000000000001,34.62166666666666,20.361666666666665,11.600000000000001,19.468333333333334,39.531666666666666,110.435,460.4116666666667,131.73833333333334,1032.6466666666665,620.45,57.449999999999996,580.705
2016-06-08,623.9166666666666,60.51,21.376666666666665,16.86,24.103333333333335,24.933333333333334,6.649999999999999,11.949999999999998,35.768333333333324,33.65833333333333,8.033333333333333,29.936666666666667,28.400000000000002,20.391666666666666,7.156666666666667,20.703333333333333,14.096666666666666,43.78333333333333,4.5,3.1333333333333333,26.110000000000003,29.956666666666667,13.756666666666666,10.49,34.848333333333336,20.346666666666668,11.866666666666667,19.48166666666667,39.89666666666667,110.17,461.8766666666667,132.15333333333334,1032.585,622.9333333333333,57.38333333333333,580.515
2016-06-09,625.1374999999999,60.8575,21.51375,16.89125,24.13125,25.0325,6.637499999999999,11.95,36.303749999999994,33.684999999999995,8.05,30.0675,28.375,20.4725,7.13625,20.98375,14.10125,43.89,4.512499999999999,3.1,26.056250000000006,30.3325,13.7425,10.52,34.84875,20.46625,11.9,19.5,39.942499999999995,110.2375,462.9425,132.23624999999998,1033.455,624.575,57.475,580.875
2016-06-10,626.3199999999999,61.214999999999996,21.698,16.919999999999998,24.166999999999998,25.031,6.63,11.889999999999999,36.483999999999995,33.68599999999999,8.040000000000001,30.202999999999996,28.47,20.547,7.142,21.237000000000002,14.141,43.95399999999999,4.499999999999999,3.07,26.025,30.458,13.743,10.522,34.936,20.585,11.879999999999999,19.597,39.97,110.197,464.19899999999996,132.119,1034.701,625.9100000000001,57.58,581.378
