Day,VNINDEX,BVH,CSM,CTG,CII,DPM,FLC,EIB,DRC,FPT,HAG,HCM,GMD,HPG,IJC,HSG,MBB,MSN,ITA,OGC,KDC,PVD,PPC,PVT,VCB,SSI,STB,REE,VIC,VNM,NGANHANG,KHOANGSAN,NANGLUONG,VN30,UPCOM,CONGNGHE
2012-01-03,-2.171459896247384,-0.7956329625981678,-2.6139845715018106,-2.751916728815582,-1.5641699047405841,-3.36731356379692,1.1099990556731762,-0.8184977331185042,-2.2177443197307727,-1.4724812231898312,-0.5168448501059447,-1.7564418570654206,-1.6070961414077105,-1.5607364619388318,0.1662802412980579,-2.513540889002963,-2.4584657071385325,0.2531588265976204,-0.8746816763265717,-0.007403909009656547,-1.9945880753639795,-1.0014986633379195,-2.2242037749084353,-1.6334559676306586,-1.4828458931996957,-1.856015714267125,-1.4712097322499154,-2.350660153377187,-0.7343375706789714,-1.474694018278832,-1.345649894889469,1.8285713001550803,-2.094921026275942,-3.116201625092694,-1.4460749768991583,-1.2112240125532188
2012-01-04,-2.199936512482974,-0.7439358503962296,-2.624383321434498,-2.7790127556700894,-1.6212278667768476,-3.36731356379692,1.3778376316568648,-0.8621445854086474,-2.220932536648904,-1.4404569290843188,-0.5536693737736286,-1.7821742631065844,-1.6289716318297929,-1.5699665463786303,0.2822465212516308,-2.539462776957036,-2.4737266358713996,0.1883433491555567,-0.8527883220880955,-0.08200973463344222,-2.013113713931387,-1.034269965328705,-2.2450313574082066,-1.6114108492757038,-1.4421267374815276,-1.9100097489354295,-1.3385797933441101,-2.3215103741633407,-0.7158688515510581,-1.4892062039480363,-1.3294521604054443,1.824668441317093,-2.107408028812756,-3.237525426217258,-1.4592533209150265,-1.2028102308960127
2012-01-05,-2.2552468632482556,-0.811366866311801,-2.6366727531731278,-2.7075777757809343,-1.6416057103612274,-3.36731356379692,1.513244911737507,-0.838866264187238,-2.2241207535670355,-1.4699192796613902,-0.6077309085198024,-1.8026432224575102,-1.6500658547368008,-1.5871081317668272,-0.027895855368389493,-2.55256862900644,-2.4737266358713996,0.025539118415254608,-0.9403617390419996,-0.13446695577516637,-2.040902171782498,-1.0670412673194904,-2.2548325727022163,-1.601766109995411,-1.439259191304192,-1.938086646962948,-1.269003431950901,-2.3094483965576114,-0.7070038663696593,-1.5206492728979784,-1.3037658122295954,1.8052842424217534,-2.1177729110615613,-3.338116679048385,-1.4504677582377812,-1.2424351359387587
2012-01-06,-2.317128740837135,-0.960614181538266,-2.6442354803969006,-2.623826420048821,-1.6652440089191078,-3.36731356379692,1.612940381686991,-0.8854229066300577,-2.2283717094578774,-1.4724812231898312,-0.7009674684443634,-1.8254514914485418,-1.637565574495611,-1.5989753831894251,-0.23555640319222929,-2.5790774496723916,-2.4889875646042663,-0.10358147837877824,-1.0279351559959042,-0.18692417691689076,-2.0534731408103815,-1.067372290571923,-2.2695343956432312,-1.5921213707151183,-1.4989041517927761,-1.9899209202445205,-1.2820489997121274,-2.3385981757714576,-0.7254725854975727,-1.535161458567182,-1.436989782246127,1.7834282329290214,-2.1389270996167724,-3.3834211364303424,-1.4548605395764036,-1.2332601073697105
2012-01-07,-2.317128740837135,-0.960614181538266,-2.6442354803969006,-2.623826420048821,-1.6652440089191078,-3.36731356379692,1.612940381686991,-0.8854229066300577,-2.2283717094578774,-1.4724812231898312,-0.7009674684443634,-1.8254514914485418,-1.637565574495611,-1.5989753831894251,-0.23555640319222929,-2.5790774496723916,-2.4889875646042663,-0.10358147837877824,-1.0279351559959042,-0.18692417691689076,-2.0534731408103815,-1.067372290571923,-2.2695343956432312,-1.5921213707151183,-1.4989041517927761,-1.9899209202445205,-1.2820489997121274,-2.3385981757714576,-0.7254725854975727,-1.535161458567182,-1.436989782246127,1.7834282329290214,-2.1389270996167724,-3.3834211364303424,-1.4548605395764036,-1.2332601073697105
2012-01-08,-2.317128740837135,-0.960614181538266,-2.6442354803969006,-2.623826420048821,-1.6652440089191078,-3.36731356379692,1.612940381686991,-0.8854229066300577,-2.2283717094578774,-1.4724812231898312,-0.7009674684443634,-1.8254514914485418,-1.637565574495611,-1.5989753831894251,-0.23555640319222929,-2.5790774496723916,-2.4889875646042663,-0.10358147837877824,-1.0279351559959042,-0.18692417691689076,-2.0534731408103815,-1.067372290571923,-2.2695343956432312,-1.5921213707151183,-1.4989041517927761,-1.9899209202445205,-1.2820489997121274,-2.3385981757714576,-0.7254725854975727,-1.535161458567182,-1.436989782246127,1.7834282329290214,-2.1389270996167724,-3.3834211364303424,-1.4548605395764036,-1.2332601073697105
2012-01-09,-2.3450577298374258,-1.1507696464201769,-2.6432901394939288,-2.626289695217413,-1.7068148098312428,-3.36731356379692,1.5727645952894376,-0.838866264187238,-2.2331540348350747,-1.4699192796613902,-0.689998461394415,-1.8353935574189912,-1.646159517161429,-1.6121612181034228,-0.3919760366179793,-2.5724126370273432,-2.4737266358713996,-0.29802791070497003,-0.9841484475189519,-0.16594128846020087,-2.0944941976382125,-1.076971964892456,-2.2536074207904653,-1.6114108492757038,-1.501771697970112,-2.0363557900592624,-1.1233279252838693,-2.3215103741633407,-0.8274199150836548,-1.5641858299055902,-1.5248792646239395,1.7592305081334967,-2.1445786410153667,-3.272847545532005,-1.4548605395764036,-1.2313770229035739
2012-01-10,-2.2881044973662448,-1.146274245359139,-2.6206019578226116,-2.4686400844275522,-1.716596174751745,-3.36731356379692,1.70817187537008,-0.7690313005230076,-2.2283717094578774,-1.4487832455517518,-0.6406379296696475,-1.8090763239678014,-1.6156900840735289,-1.6029311336636247,-0.48636719471972467,-2.5264540061843017,-2.4432047784056663,-0.10409183646887349,-0.9403617390419996,-0.13446695577516637,-2.0845697484056727,-1.073330709115702,-2.237680445937699,-1.6114108492757038,-1.516682938092258,-1.9510452152833413,-0.9319929314525431,-2.2813037821442426,-0.9212410082534549,-1.5641858299055902,-1.4464783959379521,1.7566936498888046,-2.121592727579978,-3.1622739546336676,-1.4680388835922713,-1.2079786967711539
2012-01-11,-2.2108890571889703,-0.9457793580368403,-2.6149299124047825,-2.3430130508293816,-1.686436966246863,-3.36731356379692,1.978986435531365,-0.6613690648739865,-2.2145561028126406,-1.435973527909547,-0.6578749407481377,-1.7862680549767695,-1.646159517161429,-1.6029311336636247,-0.5483956700437289,-2.5329463463850077,-2.3770740872299108,0.13985933059653238,-0.8965750305650478,-0.11348406731847671,-2.0660441098382654,-1.0206980119789857,-2.230329534467192,-1.5824766314348253,-1.5046392441474479,-1.8840926122946435,-0.686301405282773,-2.2792934525432873,-0.8547536193929663,-1.5617671322940563,-1.2358120030628892,1.753376219876515,-2.1140201088680284,-3.1023799262304013,-1.4680388835922713,-1.190069361529387
2012-01-12,-2.2081509210124715,-0.744834930608437,-2.6338367304642136,-2.2888209971203675,-1.6962183311673653,-3.36731356379692,2.0370181269944974,-0.3907585806750964,-2.220932536648904,-1.4423783867306492,-0.6743284513230603,-1.8055673595076425,-1.633659236920239,-1.595019632715226,-0.8342660345804437,-2.539462776957036,-2.3465522297641774,0.3506372218057643,-1.006041801757428,-0.16594128846020087,-2.0978023473823924,-1.0048088958622414,-2.237680445937699,-1.601766109995411,-1.4857134393770315,-1.9316073628027517,-0.6993469730439994,-2.3164845501609537,-0.7350763194440878,-1.5569297370709883,-1.0790102656909135,1.7406268810057544,-2.1324043719946797,-3.0217533495336966,-1.4724316649308942,-1.210823356283828
